,Put.Call,Strike.Price,Settlement,Historical Vol,futures.price,Time.to.maturity,Risk.Free.Rate,Open.Interest,Implied.Volatility,Moneyness
135,C,3560,1.55,0.008334662763718952,3259.0,0.2136986301369863,0.0154,103.0,0.0979408,OTM
136,C,3600,1.0,0.008334662763718952,3259.0,0.2136986301369863,0.0154,1823.0,0.1011384,OTM
137,C,3650,0.55,0.008334662763718952,3259.0,0.2136986301369863,0.0154,712.0,0.10424089999999997,OTM
138,C,3700,0.3,0.008334662763718952,3259.0,0.2136986301369863,0.0154,2662.0,0.1071297,OTM
139,C,3750,0.15,0.008334662763718952,3259.0,0.2136986301369863,0.0154,153.0,0.1089742,OTM
140,C,3800,0.1,0.008334662763718952,3259.0,0.2136986301369863,0.0154,2483.0,0.1137437,OTM
301,C,1500,1759.0,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,15.0,0.4091586,ITM
302,C,2000,1259.0,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,346.0,0.3125721,ITM
303,C,2050,1209.1,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,50.0,0.3054691,ITM
304,C,2100,1159.3,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,248.0,0.2981241,ITM
305,C,2200,1060.0,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,25.0,0.2837062,ITM
306,C,2250,1010.7,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,14.0,0.2768123,ITM
307,C,2300,961.6,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,4161.0,0.270927,ITM
308,C,2350,912.5,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,2124.0,0.2637751,ITM
309,C,2400,863.7,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,2346.0,0.2568725,ITM
310,C,2450,815.2,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,62.0,0.2505163,ITM
311,C,2500,767.1,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,1929.0,0.2443495,ITM
312,C,2550,719.2,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,868.0,0.2377268,ITM
313,C,2600,671.8,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,304.0,0.2320341,ITM
314,C,2650,624.9,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,55.0,0.225835,ITM
315,C,2700,578.3,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,231.0,0.219092,ITM
316,C,2710,569.1,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,1.0,0.2180073,ITM
317,C,2720,559.9,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,1.0,0.2165916,ITM
318,C,2740,541.5,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,2.0,0.2140959,ITM
319,C,2750,532.4,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,92.0,0.2127534,ITM
320,C,2760,523.3,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,2.0,0.2115891,ITM
321,C,2800,487.0,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,1287.0,0.2062698,ITM
322,C,2850,442.3,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,1450.0,0.1992651,ITM
323,C,2880,415.8,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,1.0,0.1950716,ITM
324,C,2900,398.3,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,4074.0,0.192186,ITM
325,C,2930,372.3,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,1.0,0.1878679,ITM
326,C,2940,363.7,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,1.0,0.186455,ITM
327,C,2950,355.2,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,2154.0,0.1849691,ITM
328,C,3000,313.1,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,5858.0,0.1773824,ITM
329,C,3010,304.8,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,2.0,0.17576129999999998,ITM
330,C,3040,280.1,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,200.0,0.1710078,ITM
331,C,3050,271.9,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,5568.0,0.1693561,ITM
332,C,3060,263.9,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,22.0,0.1677588,ITM
333,C,3070,255.9,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,19.0,0.1662104,ITM
334,C,3080,248.0,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,19.0,0.16457420000000006,ITM
335,C,3090,240.1,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,9.0,0.1629805,ITM
336,C,3100,232.3,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,7081.0,0.161296,ITM
337,C,3110,224.5,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,2.0,0.1596476,ATM
338,C,3120,216.8,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,4.0,0.1579053,ATM
339,C,3130,209.2,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,3.0,0.15619249999999998,ATM
340,C,3140,201.6,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,4.0,0.1545047,ATM
341,C,3150,194.1,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,2270.0,0.15271600000000002,ATM
342,C,3160,186.6,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,13.0,0.15094570000000002,ATM
343,C,3170,179.3,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,13.0,0.14918900000000002,ATM
344,C,3180,172.0,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,15.0,0.14744129999999994,ATM
345,C,3190,164.9,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,82.0,0.1456983,ATM
346,C,3200,157.8,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,7424.0,0.1438395,ATM
347,C,3210,150.8,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,195.0,0.1419778,ATM
348,C,3220,143.8,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,361.0,0.14022279999999998,ATM
349,C,3230,137.0,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,494.0,0.1383402,ATM
350,C,3240,130.3,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,253.0,0.13644,ATM
351,C,3250,123.7,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,4306.0,0.13463,ATM
352,C,3260,117.3,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,398.0,0.1327914,ATM
353,C,3270,111.0,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,357.0,0.1310314,ATM
354,C,3280,104.8,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,649.0,0.1292318,ATM
355,C,3290,98.8,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,262.0,0.12749960000000002,ATM
356,C,3300,93.0,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,5477.0,0.1258296,ATM
357,C,3310,87.3,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,248.0,0.1241034,ATM
358,C,3320,81.8,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,1288.0,0.1224291,ATM
359,C,3330,76.5,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,288.0,0.12080230000000003,ATM
360,C,3340,71.4,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,168.0,0.1192191,ATM
361,C,3350,66.5,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,7529.0,0.1176758,ATM
362,C,3360,61.8,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,726.0,0.1161695,ATM
363,C,3370,57.3,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,183.0,0.1146973,OTM
364,C,3380,53.0,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,421.0,0.1132572,OTM
365,C,3390,48.9,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,160.0,0.1118476,OTM
366,C,3400,45.0,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,4967.0,0.1104676,OTM
367,C,3410,41.4,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,151.0,0.1092497,OTM
368,C,3420,38.0,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,348.0,0.1080694,OTM
369,C,3430,34.8,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,91.0,0.1069299,OTM
370,C,3440,31.8,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,487.0,0.105836,OTM
371,C,3450,29.1,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,3848.0,0.1049444,OTM
372,C,3460,26.6,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,161.0,0.1041247,OTM
373,C,3470,24.2,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,323.0,0.1032275,OTM
374,C,3480,22.1,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,541.0,0.1025866,OTM
375,C,3490,20.2,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,549.0,0.1020657,OTM
376,C,3500,18.4,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,3198.0,0.1015037,OTM
377,C,3510,16.8,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,89.0,0.1010967,OTM
378,C,3520,15.3,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,11.0,0.1006734,OTM
379,C,3530,14.0,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,84.0,0.1004546,OTM
380,C,3540,12.8,0.011383104294898014,3259.0,0.463013698630137,0.015700000000000002,14.0,0.1002579,OTM
